MARRIAGE_DAYS_futcov,FESTIVE_PHASE_I_futcov,TOTAL_FESTIVAL_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,PROP_FESTIVE_PHASE_II_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_pos_relative_futcov,FESTIVE_PHASE_II_futcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_fc_cyc_month_cos_futcov,darts_enc_fc_cus_custom_futcov,PROP_FESTIVE_PHASE_I_futcov,FESTIVE_PHASE_III_futcov,PROP_PITRU_PAKSH_futcov,PITRU_PAKSH_futcov,darts_enc_fc_cyc_month_sin_futcov
1.2,1.6,1.7999999999999998,1.9,3.4000000000000004,3.8,3.9,4.2,5.4,6.9,7.3999999999999995,7.8,9.4,9.700000000000001,10.7,20.8
1.3,1.2,2.0,2.1999999999999997,3.8,4.3,3.9,5.3,5.6000000000000005,7.6,8.200000000000001,9.5,8.3,6.2,10.7,20.0
1.2,1.6,1.4000000000000001,1.9,7.8,4.3,5.4,6.1,6.4,11.0,7.3999999999999995,7.1,7.000000000000001,9.8,8.3,13.3
1.2,1.3,2.0,2.6,6.0,4.8,4.3999999999999995,8.0,6.6000000000000005,9.4,7.6,7.3,6.5,8.799999999999999,9.0,14.499999999999998
1.2,1.4000000000000001,1.9,2.6,5.800000000000001,4.7,4.3999999999999995,7.8,6.6000000000000005,9.5,7.5,7.3,6.5,9.1,9.1,14.6
1.5,1.2,4.0,2.7,4.2,4.9,3.4000000000000004,6.5,9.9,5.2,14.899999999999999,22.0,4.5,1.7999999999999998,6.800000000000001,6.5
1.4000000000000001,1.3,4.1000000000000005,2.9000000000000004,4.5,5.6000000000000005,3.4000000000000004,6.6000000000000005,11.700000000000001,5.4,14.499999999999998,19.900000000000002,4.6,1.5,6.7,6.2
1.3,1.4000000000000001,4.0,2.8000000000000003,4.5,5.4,3.3000000000000003,6.4,11.0,5.3,14.399999999999999,20.7,4.5,1.7000000000000002,7.1,6.0
1.3,1.4000000000000001,4.0,2.7,4.1000000000000005,5.0,3.3000000000000003,6.6000000000000005,10.299999999999999,5.3,14.499999999999998,20.7,4.7,2.0,7.199999999999999,6.9
1.3,1.5,4.1000000000000005,2.8000000000000003,4.3999999999999995,5.5,3.3000000000000003,6.800000000000001,11.5,5.5,14.099999999999998,19.2,4.7,1.7000000000000002,7.1,6.5
1.6,2.1,1.2,2.5,2.8000000000000003,3.8,5.7,4.0,5.2,6.3,7.5,9.5,12.0,10.7,10.5,14.499999999999998
1.5,1.3,2.3,2.5,3.2,4.0,4.5,6.2,4.3999999999999995,5.800000000000001,10.6,14.299999999999999,7.7,8.200000000000001,9.4,14.099999999999998
1.5,1.3,2.1,2.5,3.3000000000000003,4.1000000000000005,4.6,6.2,4.8,6.4,10.0,12.8,7.7,8.6,9.8,14.399999999999999
1.5,1.4000000000000001,1.7999999999999998,2.5,3.1,4.1000000000000005,4.6,5.8999999999999995,4.8,6.5,9.700000000000001,12.8,7.9,8.799999999999999,10.100000000000001,14.399999999999999
1.5,1.9,1.4000000000000001,2.4,4.1000000000000005,4.0,4.9,5.1,5.5,7.9,7.3,8.0,9.2,9.8,10.100000000000001,16.900000000000002
1.4000000000000001,1.5,2.3,2.4,4.3,4.3,4.3999999999999995,6.7,5.6000000000000005,7.5,8.1,8.9,7.3999999999999995,8.7,9.4,17.2
1.4000000000000001,1.6,2.0,2.5,4.1000000000000005,4.3999999999999995,4.2,6.7,5.800000000000001,7.9,8.3,9.6,7.199999999999999,7.8,10.2,16.400000000000002
1.4000000000000001,1.6,1.9,2.5,4.0,4.3999999999999995,4.3,6.6000000000000005,5.7,7.9,8.3,9.6,7.199999999999999,7.9,10.299999999999999,16.3
1.2,1.9,2.1,2.0,3.9,4.0,4.2,6.6000000000000005,5.6000000000000005,7.3,7.6,7.8,7.6,10.299999999999999,8.9,18.9
1.5,1.7999999999999998,1.4000000000000001,2.4,5.0,4.1000000000000005,4.8,5.2,5.7,8.6,7.199999999999999,7.5,8.3,8.9,9.9,17.599999999999998
1.4000000000000001,1.5,2.1999999999999997,2.5,4.8,4.5,4.2,6.9,6.0,8.200000000000001,8.0,8.7,6.9,7.3,9.700000000000001,17.1
1.5,1.6,1.9,2.5,4.3999999999999995,4.5,4.2,6.6000000000000005,6.0,8.3,8.0,9.1,7.000000000000001,7.3,10.299999999999999,16.7
1.6,1.7999999999999998,1.4000000000000001,2.4,5.5,4.2,4.8,5.3,5.800000000000001,8.9,7.199999999999999,7.3,7.9,8.6,9.700000000000001,17.7
1.5,1.6,1.5,2.5,4.3999999999999995,4.2,4.5,5.4,5.6000000000000005,8.4,7.6,8.799999999999999,8.3,8.0,10.4,17.299999999999997
1.5,1.4000000000000001,2.0,2.5,4.3999999999999995,4.3999999999999995,4.3999999999999995,6.3,5.6000000000000005,8.0,8.5,10.299999999999999,7.6,6.7,10.2,16.1
1.5,1.5,2.1999999999999997,2.5,4.8,4.3999999999999995,4.3999999999999995,6.7,5.800000000000001,8.3,7.9,8.7,7.3,7.5,9.6,17.1
1.5,1.5,2.1,2.5,5.0,4.5,4.2,6.9,6.1,8.5,7.9,8.5,6.9,7.000000000000001,9.700000000000001,17.1
1.5,1.6,1.9,2.5,4.8,4.5,4.2,6.7,6.1,8.6,7.9,8.7,6.9,7.000000000000001,10.2,16.8
1.5,1.6,1.9,2.5,4.7,4.5,4.2,6.6000000000000005,6.1,8.6,7.9,8.7,6.9,7.1,10.2,16.8
1.6,1.7000000000000002,1.4000000000000001,2.5,5.800000000000001,4.2,4.8,5.2,5.8999999999999995,9.1,7.1,7.199999999999999,7.8,8.6,9.5,17.599999999999998
1.5,1.4000000000000001,2.1,2.6,4.9,4.3999999999999995,4.3999999999999995,6.7,5.8999999999999995,8.4,8.0,8.9,7.199999999999999,7.1,9.700000000000001,16.7
1.5,1.5,2.1,2.6,5.1,4.5,4.2,6.9,6.2,8.6,7.8,8.5,6.9,6.9,9.700000000000001,17.0
1.5,1.6,1.9,2.6,4.9,4.6,4.2,6.7,6.2,8.7,7.8,8.5,6.9,6.9,10.100000000000001,16.900000000000002
1.0,1.7999999999999998,1.7999999999999998,2.8000000000000003,9.2,4.7,5.1,6.800000000000001,6.7,9.8,7.6,7.199999999999999,6.7,9.3,8.5,11.0
1.3,1.2,1.9,2.3,3.5999999999999996,4.3,3.9,5.3,5.6000000000000005,7.6,8.3,9.6,8.3,6.4,10.7,19.7
1.2,1.7000000000000002,1.4000000000000001,1.7999999999999998,7.6,4.2,5.4,5.8999999999999995,6.3,11.1,7.3999999999999995,7.1,7.000000000000001,9.8,8.200000000000001,13.900000000000002
1.2,1.3,1.9,2.6,5.8999999999999995,4.7,4.3999999999999995,7.7,6.5,9.5,7.5,7.199999999999999,6.5,9.1,9.0,14.7
1.6,1.0999999999999999,4.0,2.8000000000000003,4.3,4.9,3.4000000000000004,6.5,10.0,5.2,14.899999999999999,21.8,4.5,1.7000000000000002,6.7,6.5
1.3,1.4000000000000001,4.1000000000000005,2.9000000000000004,4.5,5.5,3.3000000000000003,6.4,11.200000000000001,5.3,14.499999999999998,20.4,4.5,1.7000000000000002,7.000000000000001,6.0
1.4000000000000001,1.4000000000000001,4.1000000000000005,2.7,4.2,5.0,3.4000000000000004,6.6000000000000005,10.4,5.3,14.499999999999998,20.4,4.7,2.0,7.1,6.800000000000001
1.3,1.4000000000000001,4.2,2.9000000000000004,4.5,5.5,3.3000000000000003,6.800000000000001,11.5,5.5,14.2,19.0,4.7,1.7000000000000002,6.9,6.5
1.3,1.4000000000000001,4.1000000000000005,2.9000000000000004,4.3999999999999995,5.5,3.4000000000000004,6.800000000000001,11.600000000000001,5.5,14.099999999999998,19.0,4.7,1.7000000000000002,7.1,6.5
1.7000000000000002,2.1,1.2,2.5,2.8000000000000003,3.9,5.800000000000001,4.0,5.3,6.6000000000000005,7.5,9.1,11.700000000000001,10.8,10.5,14.499999999999998
1.5,1.2,2.3,2.5,3.3000000000000003,4.0,4.5,6.3,4.5,6.0,10.7,14.099999999999998,7.6,8.1,9.4,14.000000000000002
1.5,1.3,2.1,2.5,3.4000000000000004,4.2,4.6,6.3,4.8,6.6000000000000005,10.0,12.5,7.6,8.6,9.700000000000001,14.399999999999999
1.5,1.4000000000000001,1.7999999999999998,2.5,3.2,4.2,4.6,6.0,4.9,6.7,9.700000000000001,12.4,7.8,8.799999999999999,10.100000000000001,14.399999999999999
1.2,1.7999999999999998,2.1,2.0,4.0,4.0,4.3,6.7,5.6000000000000005,7.5,7.5,7.8,7.5,10.299999999999999,8.799999999999999,18.8
1.6,1.7999999999999998,1.4000000000000001,2.4,5.2,4.1000000000000005,4.8,5.3,5.800000000000001,8.799999999999999,7.199999999999999,7.3999999999999995,8.1,9.0,9.700000000000001,17.5
1.5,1.5,2.1999999999999997,2.5,4.9,4.5,4.2,7.000000000000001,6.0,8.4,7.9,8.5,6.9,7.3,9.6,17.0
1.5,1.6,1.9,2.5,4.6,4.5,4.2,6.7,6.0,8.5,7.9,8.799999999999999,7.000000000000001,7.3,10.2,16.7
1.6,1.7000000000000002,1.4000000000000001,2.5,5.800000000000001,4.2,4.8,5.3,5.8999999999999995,9.1,7.1,7.199999999999999,7.7,8.7,9.4,17.5
1.6,1.6,1.4000000000000001,2.5,4.5,4.3,4.6,5.5,5.7,8.6,7.5,8.6,8.1,8.0,10.299999999999999,17.299999999999997
1.5,1.4000000000000001,2.0,2.6,4.6,4.3999999999999995,4.3999999999999995,6.4,5.7,8.200000000000001,8.5,10.2,7.5,6.6000000000000005,10.100000000000001,16.0
1.5,1.4000000000000001,2.1999999999999997,2.6,5.0,4.3999999999999995,4.3999999999999995,6.7,5.800000000000001,8.4,7.9,8.6,7.199999999999999,7.5,9.6,16.8
1.5,1.4000000000000001,2.1999999999999997,2.6,5.0,4.3999999999999995,4.3999999999999995,6.800000000000001,5.8999999999999995,8.5,7.9,8.5,7.1,7.5,9.5,16.900000000000002
1.5,1.5,2.1,2.6,5.2,4.6,4.2,7.000000000000001,6.1,8.7,7.8,8.3,6.800000000000001,7.000000000000001,9.6,17.0
1.7000000000000002,1.7000000000000002,1.3,2.5,6.1,4.2,4.8,5.3,6.0,9.3,7.1,7.1,7.6,8.6,9.2,17.4
1.0,1.7999999999999998,1.7999999999999998,2.9000000000000004,9.700000000000001,4.8,5.1,7.000000000000001,6.7,9.8,7.6,7.199999999999999,6.6000000000000005,9.3,8.4,10.4
1.2,1.6,1.4000000000000001,2.1,8.0,4.3999999999999995,5.4,6.5,6.4,10.8,7.3999999999999995,7.1,6.800000000000001,9.8,8.3,12.8
1.2,1.3,2.0,2.7,6.0,4.8,4.3999999999999995,8.1,6.7,9.4,7.6,7.3,6.5,8.9,9.0,14.099999999999998
1.3,1.4000000000000001,4.1000000000000005,2.8000000000000003,4.5,5.4,3.3000000000000003,6.4,11.1,5.3,14.399999999999999,20.7,4.5,1.7000000000000002,7.000000000000001,6.0
1.3,1.4000000000000001,4.0,2.7,4.2,5.0,3.3000000000000003,6.6000000000000005,10.4,5.3,14.499999999999998,20.599999999999998,4.6,2.0,7.199999999999999,6.800000000000001
1.3,1.5,4.1000000000000005,2.9000000000000004,4.3999999999999995,5.5,3.3000000000000003,6.800000000000001,11.600000000000001,5.5,14.099999999999998,19.2,4.7,1.7000000000000002,7.1,6.5
1.6,2.1,1.3,2.5,2.8000000000000003,3.8,5.6000000000000005,4.0,5.1,6.2,7.6,9.8,12.0,10.6,10.7,14.299999999999999
1.5,1.3,2.3,2.4,3.2,4.0,4.3999999999999995,6.2,4.3999999999999995,5.800000000000001,10.8,14.7,7.7,7.9,9.4,13.900000000000002
1.5,1.3,2.1,2.5,3.3000000000000003,4.1000000000000005,4.5,6.2,4.8,6.3,10.2,13.3,7.7,8.3,9.8,14.2
1.5,1.4000000000000001,1.9,2.5,3.1,4.1000000000000005,4.6,5.8999999999999995,4.8,6.5,9.9,13.200000000000001,7.9,8.5,10.2,14.2
1.6,1.7999999999999998,1.5,2.5,5.4,4.2,4.7,5.3,5.800000000000001,8.799999999999999,7.199999999999999,7.3999999999999995,8.0,8.4,9.9,17.599999999999998
1.5,1.6,1.5,2.5,4.3,4.2,4.5,5.4,5.6000000000000005,8.200000000000001,7.7,9.2,8.3,7.7,10.6,17.1
1.5,1.4000000000000001,2.1,2.5,4.3,4.3999999999999995,4.3999999999999995,6.2,5.6000000000000005,7.9,8.799999999999999,11.0,7.6,6.4,10.299999999999999,15.7
1.4000000000000001,1.5,2.1999999999999997,2.5,4.7,4.3999999999999995,4.3999999999999995,6.7,5.800000000000001,8.200000000000001,8.1,9.1,7.3,7.199999999999999,9.700000000000001,16.8
1.5,1.5,2.1999999999999997,2.5,4.9,4.5,4.2,6.9,6.2,8.4,8.0,8.799999999999999,6.9,6.800000000000001,9.8,16.900000000000002
1.0,1.9,1.7999999999999998,2.8000000000000003,9.0,4.7,5.1,6.800000000000001,6.7,9.700000000000001,7.6,7.199999999999999,6.7,9.3,8.6,11.1
1.3,1.3,2.1,2.7,6.3,4.9,4.5,8.200000000000001,6.7,9.4,7.6,7.3,6.4,8.799999999999999,8.9,13.8
1.3,1.4000000000000001,4.1000000000000005,2.9000000000000004,4.6,5.5,3.4000000000000004,6.4,11.3,5.3,14.499999999999998,20.4,4.5,1.6,6.800000000000001,5.8999999999999995
1.6,2.1,1.3,2.5,2.9000000000000004,3.8,5.7,4.1000000000000005,5.2,6.4,7.6,9.6,11.700000000000001,10.7,10.7,14.299999999999999
1.2,1.9,2.1999999999999997,2.0,3.9,4.0,4.2,6.7,5.6000000000000005,7.3999999999999995,7.6,7.9,7.6,10.2,8.9,18.7
1.5,1.7999999999999998,1.5,2.5,5.2,4.2,4.8,5.3,5.800000000000001,8.7,7.199999999999999,7.6,8.1,8.6,10.0,17.4
1.6,1.7000000000000002,1.5,2.5,5.7,4.2,4.8,5.3,5.8999999999999995,9.0,7.199999999999999,7.3,7.8,8.4,9.700000000000001,17.5
1.5,1.6,1.5,2.5,4.3999999999999995,4.3,4.5,5.5,5.7,8.4,7.7,9.2,8.200000000000001,7.6,10.6,16.900000000000002
1.5,1.3,2.1,2.6,4.3999999999999995,4.3999999999999995,4.3999999999999995,6.3,5.6000000000000005,8.0,9.0,11.3,7.5,6.1,10.2,15.299999999999999
1.2,1.6,1.6,2.1,3.2,3.9,3.9,4.1000000000000005,5.3,7.000000000000001,7.3999999999999995,8.200000000000001,9.700000000000001,9.1,10.9,20.8
1.4000000000000001,1.2,2.0,2.3,3.6999999999999997,4.3,4.0,5.5,5.5,7.6,8.799999999999999,10.8,8.1,5.6000000000000005,10.7,18.4
1.3,1.6,1.4000000000000001,2.0,7.000000000000001,4.3,5.1,6.1,6.3,10.7,7.3999999999999995,7.1,6.9,9.9,8.4,14.399999999999999
1.3,1.3,2.0,2.6,5.3,4.7,4.3,7.8,6.6000000000000005,9.1,7.7,7.6,6.5,8.6,9.4,15.1
1.4000000000000001,2.1,1.4000000000000001,2.1999999999999997,2.5,3.5999999999999996,4.3999999999999995,3.3000000000000003,5.0,5.5,7.199999999999999,9.1,13.900000000000002,10.0,11.3,16.900000000000002
1.5,1.2,4.0,2.7,4.1000000000000005,4.6,3.5000000000000004,6.7,9.1,5.3,14.499999999999998,21.7,4.7,2.1,7.3,7.1
1.4000000000000001,1.3,4.0,2.8000000000000003,4.3,5.2,3.4000000000000004,6.800000000000001,10.6,5.5,14.2,19.8,4.7,1.9,7.3,6.800000000000001
1.3,1.5,3.9,2.7,4.2,5.0,3.4000000000000004,6.6000000000000005,9.9,5.4,14.000000000000002,20.599999999999998,4.8,2.1999999999999997,7.8,6.7
1.4000000000000001,1.4000000000000001,4.0,2.6,4.0,4.7,3.4000000000000004,6.800000000000001,9.2,5.4,14.2,20.200000000000003,4.9,2.4,7.8,7.6
1.3,1.4000000000000001,4.0,2.8000000000000003,4.2,5.1,3.4000000000000004,7.000000000000001,10.2,5.7,13.8,19.1,4.9,2.1999999999999997,7.7,7.199999999999999
1.3,1.5,4.0,2.8000000000000003,4.2,5.1,3.4000000000000004,7.000000000000001,10.2,5.7,13.8,19.1,4.9,2.1999999999999997,7.7,7.199999999999999
1.5,1.7999999999999998,1.4000000000000001,2.5,3.2,3.9,5.4,4.8,5.1,6.7,8.0,10.0,9.9,10.6,10.7,14.399999999999999
1.5,1.2,2.4,2.5,3.5000000000000004,4.1000000000000005,4.3999999999999995,6.5,4.7,6.2,10.8,14.2,7.3,7.6,9.6,13.5
1.5,1.3,2.1999999999999997,2.5,3.5999999999999996,4.2,4.5,6.6000000000000005,5.0,6.7,10.2,12.8,7.199999999999999,7.9,9.8,13.8
1.5,1.4000000000000001,2.0,2.5,3.4000000000000004,4.2,4.5,6.3,5.0,6.800000000000001,10.0,12.7,7.3,8.1,10.100000000000001,13.8
1.5,1.4000000000000001,2.0,2.5,3.4000000000000004,4.2,4.5,6.3,5.0,6.800000000000001,10.0,12.7,7.3999999999999995,8.200000000000001,10.2,13.8
1.6,2.3,1.2,2.4,2.7,3.8,5.8999999999999995,4.7,5.3,6.9,7.5,8.7,10.7,11.5,9.9,14.899999999999999
1.5,1.7000000000000002,1.6,2.5,5.1,4.2,4.7,5.7,5.800000000000001,8.7,7.3999999999999995,7.8,7.6,8.6,10.0,16.900000000000002
1.5,1.5,2.3,2.6,4.9,4.6,4.2,7.199999999999999,6.1,8.3,8.3,9.0,6.800000000000001,6.9,9.8,16.1
