PROP_FESTIVE_PHASE_I_futcov,darts_enc_pc_cus_custom_1_pastcov,FESTIVE_PHASE_I_futcov,darts_enc_pc_cus_custom_pastcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_pc_pos_relative_pastcov,darts_enc_fc_pos_relative_futcov,MARRIAGE_DAYS_futcov,PROP_FESTIVE_PHASE_III_futcov,PROP_PITRU_PAKSH_futcov,darts_enc_fc_cyc_month_sin_futcov,TOTAL_FESTIVAL_DAYS_futcov,darts_enc_fc_cus_custom_futcov,FESTIVE_PHASE_III_futcov,darts_enc_fc_cus_custom_1_futcov,darts_enc_fc_cyc_month_cos_futcov,darts_enc_pc_cyc_month_sin_pastcov,darts_enc_pc_cyc_month_cos_pastcov,FESTIVE_PHASE_II_futcov,NET_SALES_target,PITRU_PAKSH_futcov,PROP_FESTIVE_PHASE_II_futcov
0.7000000000000001,0.8999999999999999,0.8999999999999999,1.0,1.3,1.3,1.3,1.5,1.5,1.7000000000000002,1.9,2.0,2.1999999999999997,2.5,2.9000000000000004,3.4000000000000004,3.8,5.2,7.7,18.099999999999998,18.2,20.1
0.8,1.0,1.4000000000000001,0.8999999999999999,1.6,2.1999999999999997,1.7000000000000002,2.3,0.8999999999999999,1.9,3.5999999999999996,1.9,2.3,2.9000000000000004,4.3999999999999995,3.5000000000000004,3.8,3.0,7.6,23.9,13.0,15.2
1.5,2.0,0.7000000000000001,0.8999999999999999,2.1,2.5,2.1999999999999997,2.1,1.7000000000000002,2.8000000000000003,5.0,4.0,11.600000000000001,4.3999999999999995,4.1000000000000005,4.6,4.1000000000000005,3.2,8.5,21.6,7.3,3.1
1.3,1.9,0.1,0.8999999999999999,2.8000000000000003,2.8000000000000003,2.1999999999999997,1.9,0.7000000000000001,2.9000000000000004,5.8999999999999995,2.9000000000000004,5.7,4.7,2.8000000000000003,4.8,3.4000000000000004,3.2,9.0,28.1,7.8,4.2
1.3,1.9,0.1,0.8999999999999999,2.1999999999999997,2.5,2.3,2.0,0.7000000000000001,3.0,5.2,3.0,6.5,4.8,2.9000000000000004,4.6,3.5000000000000004,3.3000000000000003,9.3,27.800000000000004,7.9,4.2
1.0,1.5,0.2,0.8,1.5,1.7999999999999998,2.1,2.1,0.6,2.6,3.6999999999999997,2.7,3.9,4.5,2.7,3.8,3.1,4.1000000000000005,12.3,24.9,13.3,6.9
1.0999999999999999,1.6,0.1,0.8,1.5,2.0,2.1999999999999997,2.1,0.6,2.8000000000000003,4.2,2.9000000000000004,5.2,4.7,2.8000000000000003,4.0,3.3000000000000003,4.0,11.799999999999999,25.4,11.200000000000001,5.5
1.2,1.9,0.7000000000000001,0.8,1.7999999999999998,2.8000000000000003,2.1999999999999997,2.1999999999999997,0.8,2.8000000000000003,4.9,3.1,7.6,4.7,4.5,4.5,4.3999999999999995,3.0,8.5,27.0,6.6000000000000005,3.9
1.2,1.7000000000000002,0.1,0.8999999999999999,1.7999999999999998,2.1999999999999997,2.3,2.1,0.6,2.8000000000000003,4.3,2.8000000000000003,4.3999999999999995,4.8,2.9000000000000004,4.2,3.4000000000000004,3.2,11.200000000000001,27.700000000000003,9.8,5.8999999999999995
1.2,1.7999999999999998,0.1,0.8999999999999999,1.7999999999999998,2.3,2.3,2.1,0.6,2.9000000000000004,4.7,2.8000000000000003,4.8,4.8,2.9000000000000004,4.3,3.4000000000000004,3.2,10.8,27.900000000000002,9.3,5.2
1.3,1.9,0.6,0.8,2.4,2.9000000000000004,2.1999999999999997,2.1,0.8,2.8000000000000003,5.1,3.1,7.7,4.6,4.3999999999999995,4.6,4.3,2.8000000000000003,7.8,28.4,5.7,3.5999999999999996
1.0999999999999999,1.7000000000000002,0.1,0.8999999999999999,2.1,2.0,2.3,2.1,0.5,2.8000000000000003,4.2,2.7,3.9,4.9,2.9000000000000004,4.1000000000000005,3.3000000000000003,3.3000000000000003,11.200000000000001,27.700000000000003,10.0,6.3
1.0999999999999999,1.7000000000000002,0.1,0.8999999999999999,1.9,2.0,2.3,2.1999999999999997,0.5,2.8000000000000003,4.1000000000000005,2.7,4.0,4.8,2.9000000000000004,4.0,3.3000000000000003,3.5999999999999996,11.5,26.8,10.9,6.0
1.2,1.7999999999999998,0.1,0.8999999999999999,2.1,2.3,2.3,2.1,0.6,2.9000000000000004,4.5,2.8000000000000003,4.5,4.9,2.9000000000000004,4.3,3.4000000000000004,3.1,10.4,28.799999999999997,8.7,5.5
1.2,1.7999999999999998,0.1,0.8,1.9,2.1,2.1999999999999997,2.1999999999999997,0.7000000000000001,2.8000000000000003,4.3,2.8000000000000003,5.0,4.7,2.7,4.3,3.3000000000000003,3.5000000000000004,9.9,28.999999999999996,10.100000000000001,4.8
1.0,1.6,0.1,0.8,2.1999999999999997,2.4,2.1,2.0,0.5,2.6,4.3999999999999995,2.5,3.3000000000000003,4.6,2.6,4.2,3.0,2.3,9.2,34.300000000000004,8.3,6.1
1.0999999999999999,1.5,1.0999999999999999,0.8,2.1,2.6,2.0,2.1,0.6,2.4,4.5,2.3,3.0,4.2,7.199999999999999,3.9,4.0,2.1999999999999997,8.200000000000001,31.5,7.5,5.4
1.0999999999999999,1.6,0.2,0.8,1.7999999999999998,1.7999999999999998,2.1,2.1999999999999997,0.5,2.6,3.6999999999999997,2.5,3.3000000000000003,4.6,2.7,3.8,3.1,3.5000000000000004,11.899999999999999,26.900000000000002,12.8,6.3
1.0,1.6,0.8,0.8,2.3,2.6,2.0,2.1,0.6,2.5,4.7,2.4,3.1,4.6,4.5,4.1000000000000005,4.1000000000000005,1.9,8.200000000000001,33.2,7.000000000000001,5.800000000000001
1.3,1.7000000000000002,0.2,0.8,2.7,3.0,2.0,2.0,0.7000000000000001,2.7,5.8999999999999995,2.7,4.8,4.3999999999999995,2.5,4.8,3.0,2.5,7.1,35.199999999999996,6.1,4.1000000000000005
1.0,1.5,0.8,0.8,2.1,2.6,2.0,2.0,0.6,2.4,4.7,2.3,3.0,4.3,4.3,3.9,3.8,2.1,8.1,34.4,7.7,5.6000000000000005
1.0999999999999999,1.7000000000000002,0.2,0.8,1.7999999999999998,1.9,2.1,2.1999999999999997,0.5,2.7,3.8,2.6,3.4000000000000004,4.7,2.7,3.9,3.2,3.4000000000000004,11.5,27.6,12.2,6.1
1.3,1.7999999999999998,0.1,0.8,2.3,2.4,2.1999999999999997,2.1999999999999997,0.7000000000000001,2.8000000000000003,5.4,2.9000000000000004,5.4,4.8,2.7,4.7,3.3000000000000003,3.0,8.799999999999999,29.4,8.1,4.6
1.2,1.7000000000000002,0.8,0.8,2.1,2.1,2.1,2.1999999999999997,0.7000000000000001,2.6,4.3999999999999995,2.5,3.3000000000000003,4.7,4.2,4.0,4.2,3.0,9.700000000000001,27.800000000000004,9.9,6.1
1.0,1.5,0.2,0.8,1.7999999999999998,1.6,2.0,2.1,0.4,2.5,3.4000000000000004,2.4,3.0,4.6,2.6,3.6999999999999997,3.0,3.4000000000000004,11.799999999999999,27.400000000000002,13.600000000000001,7.3
1.0,1.5,0.2,0.8,1.9,1.7000000000000002,2.1,2.1,0.5,2.6,3.5000000000000004,2.4,3.1,4.6,2.6,3.6999999999999997,3.0,3.4000000000000004,11.799999999999999,27.3,13.3,6.9
1.0999999999999999,1.7000000000000002,0.8,0.8,2.3,2.5,2.1,2.1,0.6,2.6,4.7,2.4,3.2,4.7,4.3999999999999995,4.1000000000000005,4.2,2.1,8.799999999999999,31.0,7.5,6.1
1.0999999999999999,1.6,0.2,0.8,1.7000000000000002,1.7000000000000002,2.1,2.1999999999999997,0.5,2.6,3.6999999999999997,2.5,3.4000000000000004,4.6,2.7,3.8,3.1,3.6999999999999997,11.799999999999999,26.700000000000003,13.200000000000001,6.1
1.0999999999999999,1.7000000000000002,0.1,0.8,1.7999999999999998,1.9,2.1,2.1999999999999997,0.5,2.7,3.9,2.6,3.5000000000000004,4.7,2.7,3.9,3.2,3.4000000000000004,11.4,27.800000000000004,12.0,6.1
1.3,1.7000000000000002,0.8,0.8,2.1999999999999997,2.5,2.1,2.1999999999999997,0.8999999999999999,2.6,4.8,2.8000000000000003,5.3,4.6,4.1000000000000005,4.3999999999999995,4.2,3.0,8.3,29.299999999999997,7.9,4.3
1.0999999999999999,1.7000000000000002,0.1,0.8,2.1999999999999997,2.1,2.1,2.1,0.5,2.7,4.0,2.5,3.2,4.9,2.7,4.1000000000000005,3.2,2.6,10.4,30.8,9.3,7.000000000000001
1.0999999999999999,1.6,1.3,0.8,2.3,2.6,2.0,2.1,0.7000000000000001,2.4,4.7,2.3,3.0,4.2,7.8,4.0,4.5,1.9,7.7,31.0,6.6000000000000005,5.5
1.0999999999999999,1.6,0.2,0.8,1.9,2.0,2.1,2.1,0.5,2.6,3.9,2.5,3.5000000000000004,4.5,2.6,4.0,3.1,3.3000000000000003,10.7,29.599999999999998,11.4,5.8999999999999995
1.4000000000000001,1.9,0.8,0.8,2.1,2.8000000000000003,2.1999999999999997,2.1,1.3,2.8000000000000003,5.2,3.6999999999999997,11.0,4.5,4.0,4.6,4.3,3.0,7.9,24.5,6.1,2.9000000000000004
0.8999999999999999,1.0,2.9000000000000004,0.8999999999999999,1.5,2.5,1.6,2.8000000000000003,1.0,1.7000000000000002,4.1000000000000005,1.7999999999999998,2.1999999999999997,2.5,8.6,3.4000000000000004,4.3999999999999995,2.9000000000000004,7.1,21.2,12.8,12.6
1.5,1.7000000000000002,0.5,0.8,2.8000000000000003,3.4000000000000004,2.0,1.7999999999999998,1.5,2.7,5.3,3.5999999999999996,10.100000000000001,3.8,5.1,5.2,3.5000000000000004,3.0,7.1,26.200000000000003,5.800000000000001,2.6
1.3,1.9,0.1,0.8999999999999999,2.3,2.5,2.3,2.0,0.7000000000000001,2.9000000000000004,5.5,3.0,6.4,4.7,2.9000000000000004,4.6,3.5000000000000004,3.5000000000000004,9.8,25.900000000000002,8.799999999999999,4.3
1.0999999999999999,1.5,0.2,0.8999999999999999,1.6,1.9,2.1,2.1,0.6,2.7,3.8,2.7,4.2,4.5,2.7,3.9,3.2,3.9,12.0,25.2,12.5,6.800000000000001
1.3,1.9,0.1,0.8,1.9,3.2,2.1999999999999997,2.1,0.7000000000000001,2.9000000000000004,5.800000000000001,3.2,8.1,4.7,2.8000000000000003,4.8,3.4000000000000004,3.1,8.799999999999999,27.500000000000004,6.800000000000001,3.8
1.0999999999999999,1.5,0.7000000000000001,0.8,2.0,3.1,2.0,2.0,0.6,2.5,4.9,2.4,3.9,4.2,5.5,4.3,3.3000000000000003,2.4,8.5,32.1,7.3,4.8
1.0999999999999999,1.7000000000000002,0.1,0.8,1.6,2.0,2.3,2.1999999999999997,0.6,2.8000000000000003,4.1000000000000005,2.8000000000000003,4.3,4.7,2.9000000000000004,3.9,3.3000000000000003,3.8,12.2,25.6,11.600000000000001,5.5
1.2,1.7000000000000002,0.1,0.8,1.6,2.1,2.3,2.1999999999999997,0.6,2.8000000000000003,4.3,2.8000000000000003,4.8,4.7,2.9000000000000004,4.0,3.3000000000000003,3.8,11.799999999999999,26.400000000000002,10.8,5.2
1.3,2.0,0.6,0.8,2.3,2.8000000000000003,2.1999999999999997,2.1,0.8999999999999999,2.8000000000000003,5.0,3.2,8.0,4.6,4.3999999999999995,4.5,4.3,3.0,8.3,26.900000000000002,6.2,3.5999999999999996
1.0999999999999999,1.7000000000000002,0.1,0.8999999999999999,2.1,2.1,2.1999999999999997,2.1,0.5,2.8000000000000003,4.2,2.7,3.9,4.9,2.8000000000000003,4.1000000000000005,3.3000000000000003,3.2,10.8,28.799999999999997,9.6,6.2
1.0999999999999999,1.7999999999999998,0.1,0.8999999999999999,1.9,2.0,2.3,2.1999999999999997,0.5,2.8000000000000003,4.1000000000000005,2.7,4.0,4.9,2.9000000000000004,4.0,3.3000000000000003,3.5999999999999996,11.5,26.700000000000003,10.7,5.8999999999999995
1.2,1.7999999999999998,0.1,0.8999999999999999,2.0,2.1999999999999997,2.3,2.1,0.6,2.8000000000000003,4.3999999999999995,2.8000000000000003,4.5,4.8,2.9000000000000004,4.2,3.4000000000000004,3.3000000000000003,10.6,28.7,9.2,5.4
1.0,1.4000000000000001,0.5,0.8,1.9,2.9000000000000004,2.0,2.0,0.5,2.4,4.3,2.3,3.0,4.0,6.3,3.9,2.6,2.1999999999999997,8.3,34.4,8.200000000000001,5.3
1.3,1.7000000000000002,0.8,0.8,2.1999999999999997,2.6,2.1,2.1999999999999997,0.8,2.6,4.8,2.7,4.8,4.5,4.2,4.3,4.1000000000000005,3.0,8.3,30.3,7.9,4.3
1.0999999999999999,1.7000000000000002,0.8,0.8,2.1999999999999997,2.3,2.1,2.1999999999999997,0.6,2.5,4.5,2.4,3.1,4.6,4.5,4.0,4.1000000000000005,2.4,9.4,29.799999999999997,8.799999999999999,6.0
1.0999999999999999,1.7000000000000002,0.2,0.8,1.9,1.9,2.1999999999999997,2.1999999999999997,0.5,2.7,3.8,2.6,3.5000000000000004,4.7,2.7,3.9,3.2,3.5000000000000004,11.5,27.500000000000004,12.1,6.1
1.3,1.7999999999999998,0.1,0.8,1.9,2.1,2.1999999999999997,2.3,0.7000000000000001,2.9000000000000004,4.7,3.1,5.8999999999999995,5.0,2.8000000000000003,4.5,3.4000000000000004,3.3000000000000003,9.5,28.199999999999996,8.9,4.6
1.2,1.7000000000000002,0.8,0.8,2.1999999999999997,2.1999999999999997,2.1,2.1999999999999997,0.7000000000000001,2.6,4.5,2.5,3.4000000000000004,4.7,4.2,4.0,4.2,2.9000000000000004,9.5,28.499999999999996,9.3,6.0
1.0999999999999999,1.6,0.1,0.8,2.1,1.9,2.1,2.1,0.5,2.6,3.9,2.5,3.2,4.8,2.6,4.0,3.1,2.8000000000000003,10.6,30.099999999999998,10.2,7.199999999999999
1.0999999999999999,1.7000000000000002,0.8,0.8999999999999999,2.4,2.4,2.1,2.1,0.6,2.6,4.7,2.4,3.1,4.7,4.3,4.2,4.2,2.0,8.6,31.7,7.000000000000001,6.5
1.0,1.6,0.2,0.8,1.9,1.7000000000000002,2.1,2.1,0.5,2.6,3.5000000000000004,2.4,3.1,4.7,2.6,3.6999999999999997,3.0,3.4000000000000004,11.799999999999999,27.200000000000003,13.200000000000001,6.9
1.0999999999999999,1.7000000000000002,0.8,0.8,2.3,2.3,2.1,2.1999999999999997,0.6,2.6,4.5,2.5,3.2,4.7,4.5,4.0,4.2,2.4,9.5,28.999999999999996,8.6,6.1
1.3,1.7999999999999998,0.1,0.8,1.7999999999999998,2.1999999999999997,2.1999999999999997,2.1999999999999997,0.8,2.8000000000000003,4.5,3.1,6.3,4.8,2.7,4.3999999999999995,3.3000000000000003,3.4000000000000004,9.4,28.499999999999996,9.0,4.5
1.4000000000000001,1.9,0.4,0.8,2.5,3.2,2.1999999999999997,2.1,1.4000000000000001,2.7,5.8999999999999995,3.8,11.200000000000001,4.3999999999999995,2.9000000000000004,4.7,3.5999999999999996,3.1,8.200000000000001,24.0,6.7,2.8000000000000003
1.4000000000000001,1.9,0.1,0.8,1.7999999999999998,2.5,2.3,2.0,1.5,2.9000000000000004,5.0,4.2,12.4,4.3999999999999995,2.9000000000000004,4.6,3.5000000000000004,3.3000000000000003,8.7,23.7,7.3,2.8000000000000003
1.3,1.9,0.7000000000000001,0.8999999999999999,2.3,2.6,2.3,2.1,0.8,2.8000000000000003,4.9,3.0,6.5,4.7,4.5,4.3999999999999995,4.3,3.2,9.1,26.400000000000002,7.5,3.9
1.3,1.9,0.1,0.8,1.6,2.5,2.3,2.1999999999999997,0.8,2.9000000000000004,5.1,3.3000000000000003,8.200000000000001,4.8,2.9000000000000004,4.6,3.5000000000000004,3.5000000000000004,9.5,26.6,7.8,4.1000000000000005
1.0999999999999999,1.7000000000000002,0.1,0.8,1.7000000000000002,2.1,2.1999999999999997,2.1,0.6,2.8000000000000003,4.3,2.7,4.3,4.8,2.8000000000000003,4.1000000000000005,3.3000000000000003,3.4000000000000004,11.4,27.3,10.4,5.8999999999999995
1.2,1.7000000000000002,0.1,0.8,1.7000000000000002,2.3,2.3,2.1,0.6,2.9000000000000004,4.8,2.8000000000000003,4.8,4.8,2.9000000000000004,4.3,3.4000000000000004,3.3000000000000003,10.8,27.800000000000004,9.5,5.2
1.3,1.9,0.7000000000000001,0.8,2.3,2.8000000000000003,2.1999999999999997,2.1,0.8999999999999999,2.8000000000000003,5.0,3.1,7.8,4.6,4.3999999999999995,4.5,4.3,2.9000000000000004,8.0,27.900000000000002,6.0,3.5999999999999996
1.0999999999999999,1.7000000000000002,0.1,0.8999999999999999,2.0,2.0,2.1999999999999997,2.1,0.5,2.8000000000000003,4.1000000000000005,2.7,3.8,4.9,2.8000000000000003,4.1000000000000005,3.3000000000000003,3.3000000000000003,11.200000000000001,27.700000000000003,10.100000000000001,6.4
1.0999999999999999,1.7000000000000002,0.1,0.8999999999999999,1.9,2.0,2.3,2.1999999999999997,0.5,2.8000000000000003,4.1000000000000005,2.7,4.0,4.8,2.9000000000000004,4.0,3.3000000000000003,3.5999999999999996,11.600000000000001,26.700000000000003,10.9,6.0
1.2,1.7999999999999998,0.7000000000000001,0.8999999999999999,2.3,2.5,2.1999999999999997,2.1,0.7000000000000001,2.7,4.6,2.6,4.0,4.7,4.5,4.2,4.3,2.8000000000000003,9.6,28.299999999999997,8.0,5.4
1.3,1.7999999999999998,0.4,0.8,2.7,2.7,2.1,2.1999999999999997,0.8,2.7,5.800000000000001,2.9000000000000004,5.3,4.8,2.9000000000000004,4.7,3.5999999999999996,3.0,8.5,28.799999999999997,7.7,4.5
1.0999999999999999,1.6,0.8,0.8,2.1999999999999997,2.4,2.0,2.1,0.7000000000000001,2.5,4.7,2.5,3.4000000000000004,4.6,4.1000000000000005,4.1000000000000005,4.2,2.5,8.6,31.2,7.9,5.8999999999999995
1.0,1.5,0.3,0.8,1.7999999999999998,1.7000000000000002,2.0,2.0,0.4,2.5,3.4000000000000004,2.4,3.0,4.6,2.5,3.6999999999999997,2.9000000000000004,3.3000000000000003,11.700000000000001,28.000000000000004,13.200000000000001,7.3
1.0,1.5,0.2,0.8,1.9,1.7000000000000002,2.1,2.1,0.5,2.5,3.5000000000000004,2.4,3.1,4.6,2.6,3.6999999999999997,3.0,3.4000000000000004,11.899999999999999,27.200000000000003,13.4,7.000000000000001
1.0999999999999999,1.7000000000000002,0.8,0.8,2.3,2.3,2.1,2.1999999999999997,0.6,2.6,4.5,2.4,3.2,4.7,4.3999999999999995,4.0,4.2,2.5,9.5,29.099999999999998,8.799999999999999,6.2
1.4000000000000001,1.5,2.1,0.8,2.6,4.5,1.7000000000000002,1.7999999999999998,1.4000000000000001,2.1,4.8,2.8000000000000003,8.1,3.2,12.4,4.3,4.9,2.5,5.3,25.6,4.2,2.1
1.3,1.7999999999999998,0.2,0.8999999999999999,2.9000000000000004,3.3000000000000003,2.1,1.9,0.8,2.7,5.8999999999999995,2.9000000000000004,6.2,4.3,2.7,4.9,3.3000000000000003,3.2,8.5,28.999999999999996,7.3999999999999995,3.5999999999999996
1.3,1.9,0.1,0.8,1.4000000000000001,2.3,2.3,2.1999999999999997,0.8,2.9000000000000004,4.8,3.5000000000000004,8.6,4.8,2.9000000000000004,4.3999999999999995,3.5000000000000004,3.9,10.100000000000001,24.7,8.799999999999999,4.1000000000000005
1.3,1.9,0.6,0.8,2.1999999999999997,2.8000000000000003,2.1999999999999997,2.1,0.8999999999999999,2.8000000000000003,5.0,3.2,8.1,4.6,4.3999999999999995,4.5,4.3,3.1,8.3,26.700000000000003,6.3,3.5999999999999996
1.0999999999999999,1.7000000000000002,0.8,0.8,2.3,2.4,2.1,2.1999999999999997,0.6,2.6,4.5,2.4,3.2,4.7,4.6,4.1000000000000005,4.2,2.3,9.1,30.099999999999998,8.3,6.0
1.2,1.7000000000000002,0.8,0.8,2.1,2.4,2.1,2.1999999999999997,0.8,2.6,4.6,2.8000000000000003,4.9,4.6,4.2,4.2,4.2,3.3000000000000003,9.0,28.1,9.0,4.5
1.3,1.7999999999999998,0.1,0.8,1.7999999999999998,2.0,2.1999999999999997,2.3,0.8,2.8000000000000003,4.5,3.1,6.1,4.9,2.8000000000000003,4.3999999999999995,3.4000000000000004,3.5999999999999996,9.9,27.1,9.700000000000001,4.7
1.2,1.6,0.8,0.8,2.4,2.7,2.0,2.0,0.7000000000000001,2.5,5.0,2.4,3.4000000000000004,4.3999999999999995,4.0,4.3,4.1000000000000005,2.0,7.3999999999999995,34.8,6.1,5.6000000000000005
1.0,1.4000000000000001,0.3,0.8,1.7999999999999998,1.6,2.0,2.0,0.4,2.5,3.3000000000000003,2.3,2.9000000000000004,4.6,2.5,3.5999999999999996,2.9000000000000004,3.5000000000000004,11.899999999999999,27.500000000000004,13.8,7.3999999999999995
1.0,0.8,1.5,0.8,1.3,2.4,1.4000000000000001,1.7999999999999998,1.0999999999999999,1.7999999999999998,4.3,2.1999999999999997,3.2,2.4,3.6999999999999997,4.7,1.7999999999999998,3.5999999999999996,5.5,25.4,10.0,19.1
0.8999999999999999,1.2,0.7000000000000001,0.8999999999999999,1.7000000000000002,1.7000000000000002,1.6,1.7999999999999998,0.8,2.0,3.2,2.1,2.6,3.5999999999999996,3.5000000000000004,3.5999999999999996,4.1000000000000005,3.1,9.1,27.0,12.6,12.3
1.4000000000000001,1.9,0.7000000000000001,0.8999999999999999,2.3,2.6,2.1999999999999997,2.0,1.4000000000000001,2.8000000000000003,5.1,3.6999999999999997,10.299999999999999,4.3999999999999995,4.2,4.6,4.1000000000000005,3.2,8.1,24.099999999999998,6.9,3.0
1.3,1.9,0.1,0.8999999999999999,2.0,2.4,2.3,2.0,0.6,3.0,4.9,3.0,6.5,4.9,3.0,4.5,3.5000000000000004,3.3000000000000003,9.6,28.199999999999996,8.0,4.2
1.3,1.5,0.2,0.7000000000000001,1.0999999999999999,1.5,2.0,2.0,1.2,2.5,3.9,3.8,10.4,4.3,2.5,3.8,3.0,5.5,11.3,21.3,12.0,4.3999999999999995
1.0999999999999999,1.6,0.1,0.8,1.5,1.9,2.1999999999999997,2.1,0.6,2.7,4.0,2.7,4.3999999999999995,4.6,2.8000000000000003,3.9,3.2,4.0,12.1,25.5,12.0,6.1
1.2,1.7000000000000002,0.1,0.8,1.5,2.1,2.3,2.1,0.6,2.8000000000000003,4.3,2.9000000000000004,5.4,4.7,2.9000000000000004,4.0,3.3000000000000003,4.0,11.899999999999999,25.5,10.8,5.0
1.3,1.9,0.7000000000000001,0.8,1.9,2.8000000000000003,2.1999999999999997,2.1,0.8,2.8000000000000003,5.0,3.1,7.7,4.7,4.5,4.3999999999999995,4.3999999999999995,3.0,8.9,26.700000000000003,6.5,3.5999999999999996
1.2,1.7000000000000002,0.1,0.8,2.0,2.5,2.3,2.1,0.6,2.9000000000000004,5.1,2.7,4.3,4.8,2.9000000000000004,4.3999999999999995,3.4000000000000004,3.0,10.5,28.499999999999996,9.0,5.3
1.2,1.7000000000000002,0.1,0.8,1.6,2.1999999999999997,2.3,2.1,0.6,2.9000000000000004,4.3999999999999995,2.9000000000000004,5.0,4.8,2.9000000000000004,4.1000000000000005,3.4000000000000004,3.5999999999999996,11.4,26.8,10.100000000000001,5.0
1.2,1.7999999999999998,0.1,0.8999999999999999,1.7000000000000002,2.3,2.3,2.1,0.6,2.9000000000000004,4.7,2.8000000000000003,5.0,4.9,2.9000000000000004,4.3,3.4000000000000004,3.3000000000000003,10.9,27.700000000000003,9.1,4.9
1.3,1.9,0.7000000000000001,0.8,2.3,2.8000000000000003,2.1999999999999997,2.1,0.8,2.8000000000000003,5.0,3.0,6.9,4.7,4.3999999999999995,4.5,4.3,2.9000000000000004,8.5,27.900000000000002,6.3,3.8
1.2,1.7999999999999998,0.2,0.8999999999999999,2.7,2.7,2.1999999999999997,2.1,0.6,2.8000000000000003,5.7,2.6,3.6999999999999997,4.8,2.8000000000000003,4.5,3.4000000000000004,2.9000000000000004,10.0,28.199999999999996,8.6,5.800000000000001
1.2,1.7999999999999998,0.1,0.8999999999999999,1.9,2.0,2.3,2.1999999999999997,0.5,2.8000000000000003,4.2,2.7,4.1000000000000005,4.9,2.9000000000000004,4.0,3.3000000000000003,3.5999999999999996,11.600000000000001,26.6,10.7,5.7
1.2,1.7999999999999998,0.1,0.8999999999999999,2.3,3.0,2.1999999999999997,1.9,0.5,2.8000000000000003,5.1,2.7,4.3999999999999995,4.6,2.7,4.6,3.2,2.3,8.5,34.2,6.1,4.8
1.2,1.7999999999999998,0.4,0.8999999999999999,2.8000000000000003,3.1,2.1999999999999997,2.0,0.7000000000000001,2.7,5.7,2.6,4.2,4.7,3.1,4.6,3.5999999999999996,2.4,8.9,31.0,6.4,5.0
1.3,1.9,0.7000000000000001,0.8999999999999999,2.1,2.5,2.3,2.1999999999999997,0.8999999999999999,2.8000000000000003,4.8,3.0,7.000000000000001,4.6,4.5,4.2,4.3,3.4000000000000004,9.4,25.4,8.1,3.8
1.2,1.7000000000000002,0.8999999999999999,0.8,2.1999999999999997,2.6,2.1,2.1,0.7000000000000001,2.7,4.8,2.7,5.1,4.6,5.3,4.3999999999999995,4.2,2.4,7.3999999999999995,32.5,5.5,4.1000000000000005
1.0,1.6,0.2,0.8,2.0,2.6,2.1,2.0,0.5,2.6,4.3,2.4,3.3000000000000003,4.3999999999999995,2.5,4.1000000000000005,2.9000000000000004,2.5,9.2,35.099999999999994,8.5,5.5
